run_utc	entity_id	entity_type	canonical_name	alias_name	normalized_alias_name	alias_type	resolution_method	similarity	source	source_doc_id	source_url
20260217T090720Z	entity-43313d7eec1057d6	person	Crown Princess Mette Marit	Crown Princess Mette Marit	crown princess mette marit	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-43313d7eec1057d6	person	Crown Princess Mette Marit	Crown Princess Mette Marit	crown princess mette marit	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-fb1c798c4c966c60	person	Daniel Siad	Daniel Siad	daniel siad	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-fb1c798c4c966c60	person	Daniel Siad	Daniel Siad	daniel siad	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-c5583389b7908d66	person	David Copperfield	David Copperfield	david copperfield	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-c5583389b7908d66	person	David Copperfield	David Copperfield	david copperfield	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-22cd676cce512bc3	person	Dean Kamen	Dean Kamen	dean kamen	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-22cd676cce512bc3	person	Dean Kamen	Dean Kamen	dean kamen	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-b0b98eed53269024	person	Deepak Chopra	Deepak Chopra	deepak chopra	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-b0b98eed53269024	person	Deepak Chopra	Deepak Chopra	deepak chopra	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-6c371071fbd36978	organization	DOJ (reported by Reuters/CNN)	DOJ (reported by Reuters/CNN)	doj reported by reuters cnn	asserted_by	canonical_create	1.00	claim_registry		
20260217T090720Z	entity-6c371071fbd36978	organization	DOJ (reported by Reuters/CNN)	DOJ (reported by Reuters/CNN)	doj reported by reuters cnn	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-fd0bdbd930fee3f7	organization	DOJ OPA	DOJ OPA	doj opa	asserted_by	canonical_create	1.00	claim_registry		
20260217T090720Z	entity-fd0bdbd930fee3f7	organization	DOJ OPA	DOJ OPA	doj opa	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-d6bb4e194670c116	person	Donald Trump	Donald Trump	donald trump	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-d6bb4e194670c116	person	Donald Trump	Donald Trump	donald trump	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-5fef7ebbff6ee0d9	person	Ehud Barak	Ehud Barak	ehud barak	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-5fef7ebbff6ee0d9	person	Ehud Barak	Ehud Barak	ehud barak	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-25c08d53577a23b8	person	Elon Musk	Elon Musk	elon musk	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-25c08d53577a23b8	person	Elon Musk	Elon Musk	elon musk	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-4ca90d4d3ed57d19	person	George Mitchell	George Mitchell	george mitchell	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-4ca90d4d3ed57d19	person	George Mitchell	George Mitchell	george mitchell	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-ee21b747d67e15ad	person	George Stephanopoulos	George Stephanopoulos	george stephanopoulos	canonical	exact	1.00	canonical_seed		
